name_graph,num_vertices,solution_colors,n_conflitos,n_cores_genetico,n_conflitos_genetico,
le450_15c.col,450,16680,25,178,25,82,
le450_15d.col,450,16750,26,126,26,71,
le450_25a.col,450,8260,21,142,20,61,
le450_25b.col,450,8263,17,167,17,86,
le450_25c.col,450,17343,29,183,29,82,
le450_25d.col,450,17425,28,154,28,81,
le450_5a.col,450,5714,11,148,11,52,
le450_5b.col,450,5734,12,136,11,55,
le450_5c.col,450,9803,17,119,17,47,
le450_5d.col,450,9757,16,126,15,51,
school1.col,385,19095,33,153,32,84,
school1_nsh.col,352,14612,29,151,29,69,
anna.col,138,986,11,0,9,1,
david.col,87,812,11,0,9,1,
games120.col,120,1276,9,0,9,0,
homer.col,561,3258,13,1,12,1,
huck.col,74,602,11,0,10,0,
jean.col,80,508,10,0,8,2,
miles1000.col,128,6432,43,0,41,2,
miles1500.col,128,10396,73,0,66,6,
miles250.col,128,774,8,0,7,0,
miles500.col,128,2340,20,0,16,3,
miles750.col,128,4226,31,0,29,1,
queen10_10.col,100,2940,17,0,15,0,
queen11_11.col,121,3960,18,0,17,1,
queen12_12.col,144,5192,20,0,19,1,
queen13_13.col,169,6656,22,0,21,0,
queen14_14.col,196,8372,24,0,22,3,
queen15_15.col,225,10360,26,0,24,0,
queen16_16.col,256,12640,26,0,26,0,
queen5_5.col,25,320,7,0,6,0,
queen6_6.col,36,580,10,0,6,2,
queen7_7.col,49,952,12,0,10,1,
queen8_12.col,96,2736,15,0,15,0,
queen8_8.col,64,1456,15,0,12,4,
queen9_9.col,81,2112,15,0,14,0,
myciel3.col,11,20,2,7,1,4,
myciel4.col,23,71,3,13,2,3,
myciel5.col,47,236,5,21,4,0,
myciel6.col,95,755,5,21,5,2,
myciel7.col,191,2360,6,26,6,5,
mug100_1.col,100,166,2,56,2,16,
mug100_25.col,100,166,2,56,2,14,
mug88_1.col,88,146,3,51,2,6,
mug88_25.col,88,146,3,47,2,9,
1-FullIns_3.col,30,100,4,12,3,0,
1-FullIns_4.col,93,593,5,19,5,1,
1-FullIns_5.col,282,3247,7,28,7,2,
1-Insertions_4.col,67,232,3,31,3,3,
1-Insertions_5.col,202,1227,5,34,5,2,
1-Insertions_6.col,607,6337,6,90,5,19,
2-FullIns_3.col,52,201,4,27,3,1,
2-FullIns_4.col,212,1621,6,47,5,5,
2-FullIns_5.col,852,12201,6,67,6,16,
2-Insertions_3.col,37,72,2,27,2,3,
2-Insertions_4.col,149,541,4,41,3,5,
2-Insertions_5.col,597,3936,4,78,4,22,
3-FullIns_3.col,80,346,4,56,4,1,
3-FullIns_4.col,405,3524,6,98,6,10,
3-FullIns_5.col,2030,33751,7,237,7,159,
3-Insertions_3.col,56,110,2,43,2,7,
3-Insertions_4.col,281,1046,4,80,4,12,
3-Insertions_5.col,1406,9695,6,149,5,62,
4-FullIns_3.col,114,541,4,99,4,5,
4-FullIns_4.col,690,6650,6,188,6,43,
4-FullIns_5.col,4146,77305,8,453,8,292,
4-Insertions_3.col,79,156,2,63,2,8,
4-Insertions_4.col,475,1795,4,122,4,24,
5-FullIns_3.col,154,792,4,151,4,11,
5-FullIns_4.col,1085,11395,7,233,7,61,
flat300_28_0.col,300,21695,42,147,41,61,
flat1000_76_0.col,1000,246708,119,325,118,216,
flat1000_60_0.col,1000,245830,118,354,118,220,
flat1000_50_0.col,1000,245000,121,346,119,243,
r250.1c.col,250,30227,65,986,65,103,
r250.5.col,250,14849,38,356,37,98,
r1000.1c.col,1000,485090,167,2708,167,330,
r1000.5.col,1000,238267,160,1545,160,393,
